,,,,,
Provincie,2009,2012,2015,2018,2021
Groningen,"85,5","85,8","79,9","83,9","82,7"
Friesland,"86,6","87,6","85,8","85,8","87,3"
Drenthe,"87,8","88,4","84,9","87,1","86,9"
Overijssel,"86,1","86,7","83,8","84,7","87,3"
Flevoland,"83,1","82,8","78,4","81,2","83,0"
Gelderland,"85,1","86,5","83,3","85,2","85,6"
Utrecht,"82,9","83,8","81,4","83,3","85,5"
Noord-Holland,"82,1","83,1","82,3","83,2","82,5"
Zuid-Holland,"79,9","80,6","78,5","80,0","80,1"
Zeeland,"86,7","87,1","86,0","84,9","87,4"
Noord-Brabant,"85,1","85,8","84,4","84,8","85,2"
Limburg,"82,6","82,1","81,4","83,9","83,7"
